GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,32,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,2015 Missouri Street Highway 43 S,Tuscumbia,Colbert,35674,34.694,-87.6609,Public,"Shoals Solid Waste Disposal Authority, AL",1967,2020,Closed,"3,200,000",2009,Yes,,0.32,87-0,Low Potential,,,,Unknown,Unknown,,,,,,
1006790,7,Star Ridge Landfill,AL,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,Private,WM,1983,2186,Open,"5,604,394",2022,Yes,1.134,1.134,201484-0,Candidate,,,,Unknown,Unknown,,,,,,
1006790,7,Star Ridge Landfill,AL,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,Private,WM,1983,2186,Open,"5,604,394",2022,Yes,1.134,1.134,62-0,Shutdown,Project #1,1/11/2007,4/1/2009,Direct,Direct Thermal,,,,1.08,,
1006790,7,Star Ridge Landfill,AL,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,Private,WM,1983,2186,Open,"5,604,394",2022,Yes,1.134,1.134,62-1,Shutdown,"Project #1, De-Expansion #1",3/15/2012,12/31/2020,Direct,Direct Thermal,,,,0.72,,
1006183,11581,"Stones Throw Landfill, LLC",AL,1303 Washington Boulevard,Tallassee,Tallapoosa,36078,32.5154,-85.8311,Private,GFL Environmental USA Inc.,1982,2063,Open,"7,491,108",2022,Yes,1.941,1.941,181025-0,Candidate,,,,Unknown,Unknown,,,,,,
1007796,2204,Three Corners Landfill,AL,2205 County Road 6,Piedmont,Cherokee,36272,33.9962,-85.7254,Private,WM,1998,2233,Open,"5,814,411",2022,Yes,1.084,0.475,180288-0,Operational,Project #1,1/1/2020,,Direct,Leachate Evaporation,,,,0.61,0.0598,0.0053
1007274,21,Timberlands Landfill,AL,22800 Highway 41,Brewton,Escambia,36426,31.2593,-87.1923,Private,Escambia County Environmental Corp.,1993,2081,Open,"14,546,317",2022,Yes,1.859,1.859,76-0,Candidate,,,,Unknown,Unknown,,,,,,
1011271,11982,"Turkey Trot Landfill, LLC",AL,2328 Mannish Ryan Road,Citronelle,Washington,36522,31.15848,-88.19,Private,GFL Environmental USA Inc.,2010,2124,Open,"2,368,034",2022,Yes,0.393,0.393,181079-0,Candidate,,,,Unknown,Unknown,,,,,,
,33,Valley View SLF,AL,,Stevenson,Jackson,35772,,,Private,WM,1979,1995,Closed,"752,393",,Yes,,,88-0,Low Potential,,,,Unknown,Unknown,,,,,,
,2015,Walker County Landfill (Carbon Hill),AL,,Jasper,Walker,,33.875,-87.2465,Public,"Walker County, AL",,,Closed,,,No,,,167100-0,Unknown,,,,Unknown,Unknown,,,,,,
,2009,Willow Ridge Landfill,AL,10512 Highway 13,Haleyville,Winston,35565,34.17569,-87.60779,Public,Haleyville Solid Waste Disposal Authority,1983,2050,Open,,,No,,,167094-0,Unknown,,,,Unknown,Unknown,,,,,,
,11542,Ashley County Landfill,AR,309 Ashley 438 Road,Hamburg,Ashley,71646,33.212,-91.84759,Public,"Ashley County, AR",,,Open,,,No,,,181012-0,Unknown,,,,Unknown,Unknown,,,,,,
1002222,11550,Cherokee Village Landfill,AR,300 Landfill Road,Cherokee Village,Fulton,72529,36.28126,-91.63128,Private,"Waste Connections, Inc.",1975,2041,Open,"3,294,151",2022,No,,,181020-0,Candidate,,,,Unknown,Unknown,,,,,,
1005318,11544,City of Conway Landfill,AR,4550 Highway 64 West,Conway,Faulkner,72032,35.1119,-92.5068,Public,"City of Conway, AR",1991,2073,Open,"3,338,298",2022,No,,,181014-0,Candidate,,,,Unknown,Unknown,,,,,,
